term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,dfidf,mean_tfidf
sand,432,0.002996857461966965,8.382333817361708,4,NN,2,"{'NNP', 'NN'}",44.807282805742084,0.03487941164316033
precision,417,0.0028927999112042233,8.433317746080512,9,NNP,2,"{'NNP', 'NN'}",47.50560208128903,0.029718869763180743
team,403,0.0027956795304923308,8.482585290997209,4,NN,2,"{'NNP', 'NN'}",47.52640521395075,0.01876505610238154
alloy,391,0.0027124334898821377,8.526196522217823,5,NNP,3,"{'NNS', 'NNP', 'NN'}",45.78003891090846,0.027959678002528663
use,383,0.002656936129475342,8.55602073760022,3,NN,2,"{'NNP', 'NN'}",47.84914320377173,0.01673205657346337
copper,376,0.0026083759391193955,8.582632467847539,6,NNP,2,"{'NNP', 'NN'}",43.17351337499244,0.027280016546873932
part,376,0.0026083759391193955,8.582632467847539,4,NN,2,"{'NNP', 'NN'}",47.064246703823265,0.019226802289201917
experience,370,0.002566752918814299,8.605839859008864,10,NN,2,"{'NNP', 'NN'}",45.019790421400444,0.016717169115343856
needs,356,0.0024696325381024066,8.661487888558778,5,NNS,2,"{'NNS', 'NNP'}",46.33905066579942,0.01825419666546519
components,351,0.0024349466878481594,8.681894099220616,10,NNS,3,"{'NNS', 'NNP', 'NNPS'}",47.66711995208914,0.022549778291178962
machine,346,0.0024002608375939117,8.70259309188845,7,NN,2,"{'NNP', 'NN'}",47.92672848891523,0.024858756349795435
copyright,341,0.0023655749873396645,8.723593390501003,9,NNP,2,"{'NNP', 'NN'}",41.11104474568875,0.031468419438276045
equipment,333,0.002310077626932869,8.757842952453913,9,NN,2,"{'NNP', 'NN'}",47.282569230233335,0.019381206357013073
phone,333,0.002310077626932869,8.757842952453913,5,NN,2,"{'NNP', 'NN'}",46.872195266115455,0.02610952589132193
applications,331,0.00229620328683117,8.766533912717959,12,NNS,3,"{'NNS', 'NNP', 'NNPS'}",47.61772754466242,0.015273935997465229
quote,328,0.002275391776678622,8.779669314907093,5,NNP,2,"{'NNP', 'NN'}",44.62479059676436,0.022468478628727997
requirements,312,0.0021643970558650302,8.851819100662928,12,NNS,3,"{'NNS', 'NNP', 'NNPS'}",46.98485862909269,0.015398981066201207
capabilities,311,0.002157459885814181,8.856450549394573,12,NNS,3,"{'NNS', 'NNP', 'NNPS'}",47.75280104064451,0.020094247206364362
investment,311,0.002157459885814181,8.856450549394573,10,NN,2,"{'NNP', 'NN'}",33.630022634148695,0.0305191167767433
policy,299,0.0020742138452039876,8.913219645327072,6,NNP,2,"{'NNP', 'NN'}",42.700184431763084,0.020404241608847632
engineering,295,0.0020464651650005895,8.932650175275972,11,NN,2,"{'NNP', 'NN'}",47.892431282218574,0.021467881449120957
solutions,288,0.0019979049746446436,8.967296318082864,9,NNS,3,"{'NNS', 'NNP', 'NNPS'}",46.43872536725359,0.021913109861934118
custom,286,0.0019840306345429446,8.977349982746787,6,NNP,2,"{'NNP', 'NN'}",47.44277669592739,0.023669937885738953
data,282,0.001956281954339547,8.997669967126383,4,NNS,3,"{'NNS', 'NNP', 'NN'}",42.19927660224262,0.0201968633963788
cnc,281,0.0019493447842886973,9.00279499930425,3,NNP,2,"{'NNP', 'NN'}",44.04077931478609,0.0332629932746981
address,280,0.0019424076142378478,9.007938302580209,7,NN,2,"{'NNP', 'NN'}",46.55469796545643,0.021937168044926316
tooling,277,0.0019215961040852994,9.023479153475988,7,NN,2,"{'NNP', 'NN'}",45.15449934959718,0.025095786643931004
mold,277,0.0019215961040852994,9.023479153475988,4,NN,2,"{'NNP', 'NN'}",44.43626632604169,0.026149105776461637
sales,274,0.001900784593932751,9.03918923656465,5,NNS,2,"{'NNS', 'NNP'}",46.43872536725359,0.02087269231080132
materials,272,0.0018869102538310522,9.049758478274837,9,NNS,2,"{'NNS', 'NNP'}",47.66711995208914,0.019166643610993836
zinc,270,0.0018730359137293534,9.060405722474345,4,NNP,3,"{'NNS', 'NNP', 'NN'}",37.83609964884541,0.0324591576611597
order,270,0.0018730359137293534,9.060405722474345,5,NN,2,"{'NNP', 'NN'}",47.84914320377173,0.01760626042634398
work,268,0.0018591615736276543,9.071132129067404,4,NN,2,"{'NNP', 'NN'}",47.92672848891523,0.0175682935276975
range,260,0.0018036642132208587,9.114853506496722,5,NN,2,"{'NNP', 'NN'}",47.8689387971583,0.015513680253899785
cookies,254,0.001762041192915762,9.14853663275301,7,NNS,3,"{'NNS', 'NNP', 'NNPS'}",22.768985421569838,0.02657161951101394
system,240,0.0016649208122038696,9.230330723916657,6,NN,2,"{'NNP', 'NN'}",47.712125471966246,0.01761648902735973
bearings,237,0.0016441093020513212,9.248478070626916,8,NNP,3,"{'NNS', 'NNP', 'NN'}",21.193429666803603,0.018374240161044327
home,234,0.0016232977918987728,9.266856599941772,4,NNP,2,"{'NNP', 'NN'}",41.93820026016113,0.020662153625110483
systems,233,0.0016163606218479233,9.273035174870897,7,NNS,3,"{'NNS', 'NNP', 'NNPS'}",45.15449934959718,0.017531302477868785
name,230,0.001595549111695375,9.2917312685808,4,NN,2,"{'NNP', 'NN'}",44.807282805742084,0.018147996544548576
facility,230,0.001595549111695375,9.2917312685808,8,NN,2,"{'NNP', 'NN'}",47.78915046168998,0.01706705009292814
art,228,0.001581674771593676,9.304331305360435,3,NNP,2,"{'NNP', 'NN'}",38.55933355986629,0.018658094228408594
technology,228,0.001581674771593676,9.304331305360435,10,NN,2,"{'NNP', 'NN'}",47.752787974639006,0.016631429260038744
details,226,0.0015678004314919772,9.317042357109989,7,NNP,2,"{'NNS', 'NNP'}",38.90756251918218,0.012868804853077528
privacy,225,0.0015608632614411277,9.323440128308139,7,NN,2,"{'NNP', 'NN'}",34.55620926003337,0.020776991295422247
today,225,0.0015608632614411277,9.323440128308139,5,NN,2,"{'NNP', 'NN'}",47.92672848891523,0.01532677488478578
co,224,0.0015539260913902783,9.329866397467573,2,NNP,2,"{'NNP', 'NN'}",33.14947514228551,0.023902346043845297
specifications,223,0.0015469889213394288,9.336321419604872,14,NNS,3,"{'NNS', 'NNP', 'NNPS'}",47.84914320377173,0.015048984247988706
metals,222,0.0015400517512885793,9.34280545317507,6,NNS,2,"{'NNS', 'NNP'}",42.45323304372733,0.01987520496746707
shop,222,0.0015400517512885793,9.34280545317507,4,NN,2,"{'NNP', 'NN'}",46.19120699154755,0.01846488391869144
control,221,0.00153311458123773,9.349318760133745,7,NN,2,"{'NNP', 'NN'}",47.56390348398151,0.015808978521816012
world,220,0.0015261774111868804,9.355861606000516,5,NN,2,"{'NNP', 'NN'}",47.226675318417854,0.014522825939321941
info,213,0.0014776172208309341,9.402511699299337,4,NN,3,"{'NNS', 'NNP', 'NN'}",34.09883100790839,0.0203910867244233
material,209,0.0014498685406275364,9.429862187444293,8,NN,2,"{'NNP', 'NN'}",47.3753797052766,0.013667474394659474
tool,209,0.0014498685406275364,9.429862187444293,4,NN,2,"{'NNP', 'NN'}",45.92250141821751,0.022891436295168082
type,209,0.0014498685406275364,9.429862187444293,4,NNP,2,"{'NNP', 'NN'}",40.820260751953874,0.013703538652523474
group,205,0.0014221198604241385,9.45774122001973,5,NNP,2,"{'NNP', 'NN'}",38.20224083251561,0.017880275699919963
page,204,0.0014151826903732892,9.464795977553681,4,NN,2,"{'NNP', 'NN'}",40.52172108739802,0.02014430952507763
magnets,203,0.0014082455203224397,9.47188540234,7,NNS,2,"{'NNS', 'NNP'}",13.705908707523038,0.020063692054309683
please,201,0.0013943711802207408,9.486169628346246,6,NNP,2,"{'NNP', 'NN'}",47.3753797052766,0.014384436006862693
click,200,0.0013874340101698913,9.493365129750451,5,NNP,2,"{'NNP', 'NN'}",42.19927660224262,0.01842519855804549
request,200,0.0013874340101698913,9.493365129750451,7,NNP,2,"{'NNP', 'NN'}",44.04077931478609,0.016306567515790384
cost,200,0.0013874340101698913,9.493365129750451,4,NN,2,"{'NNP', 'NN'}",46.19120699154755,0.015854548171888822
standards,199,0.0013804968401190418,9.500596698981527,9,NNS,3,"{'NNS', 'NNP', 'NNPS'}",47.226675318417854,0.014208358945606833
web,198,0.0013735596700681924,9.507864699445566,3,NNP,3,"{'NNS', 'NNP', 'NN'}",37.46071745975206,0.018723194884746875
iron,194,0.0013458109898647945,9.537308477338048,4,NN,2,"{'NNP', 'NN'}",41.11104474568875,0.020482972242071337
water,193,0.001338873819813945,9.544764282257095,5,NN,2,"{'NNP', 'NN'}",38.55933355986629,0.016609626868823408
fax,193,0.001338873819813945,9.544764282257095,3,NNP,2,"{'NNP', 'NN'}",41.39420914709006,0.025994991312017143
united,190,0.0013180623096613968,9.567365711194228,6,NNP,1,{'NNP'},40.820260751953874,0.015591775955755971
development,190,0.0013180623096613968,9.567365711194228,11,NN,2,"{'NNP', 'NN'}",43.17351337499244,0.015944546353679055
variety,190,0.0013180623096613968,9.567365711194228,7,NN,2,"{'NNP', 'NN'}",47.91932991713298,0.011826935667044335
all,187,0.0012972507995088485,9.590326859637539,3,NNP,1,{'NNP'},35.002450535668004,0.017375094562896383
terms,187,0.0012972507995088485,9.590326859637539,5,NNS,2,"{'NNS', 'NNP'}",34.55620926003337,0.015976729884217087
project,186,0.001290313629457999,9.598062508417145,7,NN,2,"{'NNP', 'NN'}",44.62479059676436,0.015431412901906031
aerospace,183,0.0012695021193054505,9.621521481241134,9,NNP,2,"{'NNP', 'NN'}",38.90756251918218,0.020251000695664167
supplier,180,0.0012486906091529022,9.6453682231955,8,NN,2,"{'NNP', 'NN'}",45.31938234535421,0.01587323401290065
flange,179,0.0012417534391020526,9.65340554226092,6,NNP,2,"{'NNP', 'NN'}",15.793014265175811,0.013537282569033865
operations,177,0.0012278790990003538,9.669615769442178,10,NNS,3,"{'NNS', 'NNP', 'NNPS'}",46.665561098944146,0.015424879099929777
forge,177,0.0012278790990003538,9.669615769442178,5,NNP,2,"{'NNP', 'NN'}",15.793014265175811,0.02656627446817516
get,176,0.0012209419289495043,9.677789700887878,3,NNP,2,"{'NNP', 'NN'}",36.6814174422729,0.016486879661565
heat,174,0.0012070675888478054,9.694277823676448,4,NN,2,"{'NNP', 'NN'}",45.78003891090846,0.0176370104424244
companies,174,0.0012070675888478054,9.694277823676448,9,NNS,3,"{'NNS', 'NNP', 'NNPS'}",43.62011228526201,0.012961935138778479
processes,174,0.0012070675888478054,9.694277823676448,9,NNS,2,"{'NNS', 'NNP'}",46.05953510312202,0.01618782853582701
job,173,0.0012001304187969559,9.70259309188845,3,NN,2,"{'NNP', 'NN'}",43.83363925691298,0.015322005734189873
manufacturer,173,0.0012001304187969559,9.70259309188845,12,NN,2,"{'NNP', 'NN'}",44.04077931478609,0.014184497036180828
links,172,0.0011931932487461066,9.710956564823078,5,NNP,2,"{'NNS', 'NNP'}",33.14947514228551,0.014668708639069173
management,171,0.001186256078695257,9.719368804639279,10,NN,2,"{'NNP', 'NN'}",43.83363925691298,0.014364614673423167
ohio,168,0.0011654445685427086,9.744903896746417,4,NNP,1,{'NNP'},27.615845575469955,0.02156430098903223
performance,167,0.0011585073984918593,9.753517027051124,11,NN,2,"{'NNP', 'NN'}",44.43626632604169,0.013795942047582313
access,165,0.0011446330583901603,9.77089910527936,6,NN,2,"{'NNP', 'NN'}",42.45323304372733,0.012892736177636003
machines,165,0.0011446330583901603,9.77089910527936,8,NNS,3,"{'NNS', 'NNP', 'NNPS'}",44.43626632604169,0.017469486407795328
tools,162,0.0011238215482376119,9.797371316640552,5,NNS,2,"{'NNS', 'NNP'}",43.62011228526201,0.014518336948561977
new,162,0.0011238215482376119,9.797371316640552,3,NNP,1,{'NNP'},40.21528472442147,0.016048474362235735
form,159,0.0011030100380850635,9.824338364240822,4,NN,2,"{'NNP', 'NN'}",45.632078858276195,0.013695974933940706
hours,159,0.0011030100380850635,9.824338364240822,5,NNS,2,"{'NNS', 'NNP'}",40.21528472442147,0.02032758863141342
line,156,0.0010821985279325151,9.851819100662928,4,NN,2,"{'NNP', 'NN'}",43.40010306573439,0.01589917833860495
employees,155,0.0010752613578816658,9.861096914250938,9,NNS,2,"{'NNS', 'NNP'}",44.62479059676436,0.012285210397536824
conditions,154,0.0010683241878308163,9.870434778830274,10,NNS,3,"{'NNS', 'NNP', 'NNPS'}",38.55933355986629,0.011427285129531605
facilities,154,0.0010683241878308163,9.870434778830274,10,NNS,2,"{'NNS', 'NNP'}",44.24162502937839,0.014123155153715924
application,154,0.0010683241878308163,9.870434778830274,11,NN,2,"{'NNP', 'NN'}",41.39420914709006,0.013174626068516757
size,153,0.0010613870177799667,9.879833476832525,4,NN,2,"{'NNP', 'NN'}",45.632078858276195,0.012916632128995001
location,153,0.0010613870177799667,9.879833476832525,8,NN,2,"{'NNP', 'NN'}",40.820260751953874,0.013109435035316645
assembly,152,0.0010544498477291174,9.889293806081591,8,NN,2,"{'NNP', 'NN'}",44.24162502937839,0.012228514589713902
a,150,0.0010405755076274186,9.908402629029295,1,NNP,2,"{'NNP', 'NN'}",44.807282805742084,0.010661158204661654
list,150,0.0010405755076274186,9.908402629029295,4,NN,2,"{'NNP', 'NN'}",39.24710500970803,0.014111685640518698
markets,150,0.0010405755076274186,9.908402629029295,7,NNS,3,"{'NNS', 'NNP', 'NNPS'}",40.52172108739802,0.014434020522178634
pressure,147,0.0010197639974748702,9.937548974688811,8,NN,2,"{'NNP', 'NN'}",43.17351337499244,0.01564728795514327
delivery,146,0.0010128268274240207,9.947396760645159,8,NN,2,"{'NNP', 'NN'}",46.43872536725359,0.013040421852525696
llc,146,0.0010128268274240207,9.947396760645159,3,NNP,1,{'NNP'},28.235452245138227,0.022292023882989613
iso,144,0.0009989524873223218,9.967296318082864,3,NNP,2,"{'NNP', 'NN'}",43.40010306573439,0.015396825014595418
valves,144,0.0009989524873223218,9.967296318082864,6,NNS,2,"{'NNS', 'NNP'}",28.235452245138227,0.01656550746624106
questions,143,0.0009920153172714723,9.977349982746787,9,NNS,2,"{'NNS', 'NNP'}",44.983825589162784,0.01136258936801017
bearing,142,0.0009850781472206228,9.987474200020493,7,NN,2,"{'NNP', 'NN'}",24.252941159700608,0.012397080566698887
power,139,0.0009642666370680745,10.018280246801668,5,NN,2,"{'NNP', 'NN'}",40.52172108739802,0.013397434375479546
x,139,0.0009642666370680745,10.018280246801668,1,NN,3,"{'NNS', 'NNP', 'NN'}",31.634041389778574,0.017619160409593833
anodes,137,0.0009503922969663755,10.03918923656465,6,NNP,2,"{'NNS', 'NNP'}",10.193820026016112,0.015443041557771073
box,137,0.0009503922969663755,10.03918923656465,3,NNP,2,"{'NNP', 'NN'}",36.6814174422729,0.015609967009915375
stainless,137,0.0009503922969663755,10.03918923656465,9,NNP,2,"{'NNP', 'NN'}",38.20224083251561,0.02117606823694175
australia,137,0.0009503922969663755,10.03918923656465,9,NNP,1,{'NNP'},24.252941159700608,0.017264946612857008
way,136,0.0009434551269155261,10.049758478274837,3,NN,2,"{'NNP', 'NN'}",43.83363925691298,0.012792183479679007
support,135,0.0009365179568646767,10.060405722474345,7,NN,2,"{'NNP', 'NN'}",44.62479059676436,0.011970321035514637
life,134,0.0009295807868138271,10.071132129067404,4,NN,2,"{'NNP', 'NN'}",42.700184431763084,0.010190475014824781
industrial,132,0.0009157064467121283,10.092827200166722,10,NNP,1,{'NNP'},38.90756251918218,0.015455278011860151
items,132,0.0009157064467121283,10.092827200166722,5,NNS,2,"{'NNS', 'NNP'}",34.09883100790839,0.011258403601261369
automotive,132,0.0009157064467121283,10.092827200166722,10,NNP,1,{'NNP'},28.235452245138227,0.01682401416416144
projects,131,0.0009087692766612788,10.103798317987726,8,NNS,4,"{'NNS', 'NNP', 'NN', 'NNPS'}",39.24710500970803,0.01329555704312712
clients,130,0.0009018321066104293,10.114853506496722,7,NNS,2,"{'NNS', 'NNP'}",41.11104474568875,0.012679602875032453
plant,129,0.0008948949365595799,10.125994064101922,5,NN,2,"{'NNP', 'NN'}",38.55933355986629,0.011876987100267588
molding,128,0.0008879577665087304,10.137221319525176,7,NNP,2,"{'NNP', 'NN'}",33.14947514228551,0.019333349755402553
protection,128,0.0008879577665087304,10.137221319525176,10,NNP,2,"{'NNP', 'NN'}",36.6814174422729,0.012354442124038637
resistance,127,0.000881020596457881,10.14853663275301,10,NN,2,"{'NNP', 'NN'}",31.103080844792206,0.012518599127215096
market,126,0.0008740834264070315,10.159941396025259,6,NN,2,"{'NNP', 'NN'}",44.807282805742084,0.0109698564477939
browser,126,0.0008740834264070315,10.159941396025259,7,NN,2,"{'NNP', 'NN'}",30.55854638744708,0.01529781702575273
pdf,125,0.0008671462563561821,10.17143703486309,3,NNP,3,"{'NNS', 'NNP', 'NN'}",22.768985421569838,0.011639046220969009
inspection,125,0.0008671462563561821,10.17143703486309,10,NN,2,"{'NNP', 'NN'}",43.40010306573439,0.016065411627266803
people,123,0.0008532719162544832,10.194706814185936,6,NNS,3,"{'NNS', 'NNP', 'NNPS'}",43.62011228526201,0.011824876608903998
office,122,0.0008463347462036337,10.20648398196229,6,NNP,2,"{'NNP', 'NN'}",38.55933355986629,0.01455726474973599
walla,122,0.0008463347462036337,10.20648398196229,5,NNP,1,{'NNP'},2.4771212547196626,0.008257070849065542
drive,121,0.0008393975761527842,10.218358082250582,5,NNP,2,"{'NNP', 'NN'}",27.615845575469955,0.012529135152044601
forgings,121,0.0008393975761527842,10.218358082250582,8,NNS,2,"{'NNS', 'NNP'}",24.963368625744035,0.01454013059548673
call,121,0.0008393975761527842,10.218358082250582,4,NN,2,"{'NNP', 'NN'}",40.52172108739802,0.014697939026947295
standard,120,0.0008324604061019348,10.230330723916657,8,NNP,2,"{'NNP', 'NN'}",40.820260751953874,0.013175595542603332
base,119,0.0008255232360510854,10.242403556217232,4,NN,2,"{'NNP', 'NN'}",39.90080541130029,0.010157090146972471
st,118,0.0008185860660002358,10.254578270163336,2,NNP,2,"{'NNP', 'NN'}",28.83897025456841,0.020682452077515765
addition,118,0.0008185860660002358,10.254578270163336,8,NN,2,"{'NNP', 'NN'}",43.83363925691298,0.009049171344893482
solution,117,0.0008116488959493864,10.266856599941772,8,NN,2,"{'NNP', 'NN'}",38.90756251918218,0.01189858022934347
manufacturers,117,0.0008116488959493864,10.266856599941772,13,NNS,3,"{'NNS', 'NNP', 'NNPS'}",41.11104474568875,0.012866515911106059
learn,116,0.000804711725898537,10.279240324397604,5,NNP,1,{'NNP'},26.97953115119062,0.010726086852440048
usa,115,0.0007977745558476875,10.2917312685808,3,NNP,1,{'NNP'},34.55620926003337,0.015313884996449518
ability,114,0.000790837385796838,10.304331305360435,7,NN,2,"{'NNP', 'NN'}",42.700184431763084,0.009418578476842344
cts,114,0.000790837385796838,10.304331305360435,3,NNP,1,{'NNP'},2.4771212547196626,0.00765289493328026
technologies,114,0.000790837385796838,10.304331305360435,12,NNPS,3,"{'NNS', 'NNP', 'NNPS'}",31.634041389778574,0.013674679059184347
lee,114,0.000790837385796838,10.304331305360435,3,NNP,1,{'NNP'},11.42416250293784,0.010407724182764009
value,114,0.000790837385796838,10.304331305360435,5,NN,2,"{'NNP', 'NN'}",43.17351337499244,0.0108386479421783
surface,113,0.0007839002157459886,10.317042357109989,7,NN,2,"{'NNP', 'NN'}",40.820260751953874,0.011082803834626903
properties,113,0.0007839002157459886,10.317042357109989,10,NNS,3,"{'NNS', 'NNP', 'NNPS'}",37.075893342494346,0.011169017194613377
corrosion,112,0.0007769630456951392,10.329866397467573,9,NN,2,"{'NNP', 'NN'}",34.55620926003337,0.010481994004143095
expertise,112,0.0007769630456951392,10.329866397467573,9,NN,2,"{'NNP', 'NN'}",43.83363925691298,0.01086926902858553
mi,112,0.0007769630456951392,10.329866397467573,2,NNP,2,"{'NNP', 'NN'}",21.193429666803603,0.01470311805852384
capacity,112,0.0007769630456951392,10.329866397467573,8,NN,2,"{'NNP', 'NN'}",41.39420914709006,0.01403901978126771
general,110,0.0007630887055934402,10.355861606000516,7,NNP,1,{'NNP'},38.90756251918218,0.010427085329203167
staff,110,0.0007630887055934402,10.355861606000516,5,NN,2,"{'NNP', 'NN'}",40.52172108739802,0.01108543350997298
prototype,108,0.0007492143654917413,10.382333817361708,9,NN,2,"{'NNP', 'NN'}",32.656862362928536,0.01583192784397669
department,108,0.0007492143654917413,10.382333817361708,10,NN,2,"{'NNP', 'NN'}",40.21528472442147,0.014999289475730414
pattern,108,0.0007492143654917413,10.382333817361708,7,NN,2,"{'NNP', 'NN'}",38.90756251918218,0.015052770796740727
family,107,0.0007422771954408918,10.39575433312403,6,NN,2,"{'NNP', 'NN'}",43.17351337499244,0.011019051313237316
success,106,0.0007353400253900424,10.409300864961978,7,NN,2,"{'NNP', 'NN'}",40.52172108739802,0.011244603202327192
aluminium,106,0.0007353400253900424,10.409300864961978,9,NNP,2,"{'NNP', 'NN'}",22.768985421569838,0.02145713925388168
sizes,106,0.0007353400253900424,10.409300864961978,5,NNS,3,"{'NNS', 'NNP', 'NN'}",41.39420914709006,0.011441714277211404
canada,105,0.000728402855339193,10.422975801859053,6,NNP,1,{'NNP'},26.97953115119062,0.011350229428195913
strength,105,0.000728402855339193,10.422975801859053,8,NN,2,"{'NNP', 'NN'}",39.90080541130029,0.009326782479896495
cloudflare,105,0.000728402855339193,10.422975801859053,10,NNP,1,{'NNP'},12.59225014182175,0.02175939607322097
to,105,0.000728402855339193,10.422975801859053,2,NNP,2,"{'NNP', 'NNPS'}",31.103080844792206,0.011218144211888386
finishing,104,0.0007214656852883435,10.436781601384084,9,NN,2,"{'NNP', 'NN'}",39.24710500970803,0.013944314267758428
series,104,0.0007214656852883435,10.436781601384084,6,NNP,3,"{'NNS', 'NNP', 'NN'}",26.97953115119062,0.010897382206828522
e,103,0.000714528515237494,10.450720792341958,1,NNP,2,"{'NNP', 'NN'}",35.002450535668004,0.011733124198707196
state,103,0.000714528515237494,10.450720792341958,5,NN,2,"{'NNP', 'NN'}",42.45323304372733,0.009040520621472514
magnet,103,0.000714528515237494,10.450720792341958,6,NN,2,"{'NNP', 'NN'}",14.771212547196624,0.010852434938183757
studio,102,0.0007075913451866446,10.464795977553681,6,NNP,2,"{'NNP', 'NN'}",10.193820026016112,0.007936993666497066
ron,102,0.0007075913451866446,10.464795977553681,3,NNP,1,{'NNP'},7.5002450535668,0.007269010392269411
oh,102,0.0007075913451866446,10.464795977553681,2,NNP,1,{'NNP'},22.768985421569838,0.01316320360120743
need,101,0.0007006541751357951,10.47900983677338,4,NN,2,"{'NNP', 'NN'}",40.21528472442147,0.010987454561539423
safety,101,0.0007006541751357951,10.47900983677338,6,NN,2,"{'NNP', 'NN'}",37.83609964884541,0.010244676947224259
