company_num,Text,characters,words
1,"Privacy Policy Last modified: February 07, 2017 Custom Metal Crafters, Inc.respects your privacy and our site visitors' information. We do not sell or rent to third parties any of the information collected via this website. Information CollectedIf you request or submit information to us by sending an Email or by filling out a ""contact"" form, we may save your Email address as well as any other information you provide on website forms submitted to us. This information may be used to contact you in the future by mail, Email, or phone to convey information about our products, services or solutions that we feel may benefit you. Information Collected by OthersThis notice addresses only Custom Metal Crafters, Inc.'s website policy, and does not apply to sites that users access via links from our site. Custom Metal Crafters, Inc. is not responsible for the information collecting policies of other sites, for the practices employed by websites linked to or from our website, or for the information or content contained therein. Often, links to other websites are provided solely on the basis that they may contain useful information for our website visitors. Users are advised to review the privacy policies of these other websites. CookiesThis website may set cookies on your computer. A cookie is a text file that is placed on your computer by our web server and helps recall your use of this website. Cookies are uniquely generated and assigned to you. We may also use one or more 3rdparty tracking tools that utilize data collected to track and examine the use ofwww.custom-metal.comand to prepare reports regarding our website's usage. These 3rdparty tracking tools do not collect personally identifiable information. Other Information We CollectCustom Metal Crafters, Inc. may keep track of technical information about your computer or mobile device, such as the browser type and version, browser plug-in types and versions and operating system of your computer; the Internet Service Provider (ISP) or other provider you use to access this website, links on this website and certain of our services; and your internet protocol (IP) address, location and time zone setting. To help us understand the use of this website by users, improve your site experience and aid us in marketing and managing this website and our services, we may also collect information as to how you were directed to this website and our services, how you navigate around them, what products or services you browse, which external websites or links you access from this website. This information may be used, among other things, in the reporting, marketing and analysis of this website and its services and features and may be shared with our affiliates, suppliers, providers and/or their and our respective agents and contractors. Updating, Correcting, and Deleting Personal InformationIf you would like to have your personal information updated, corrected or removed from our records, please send us an Email with ""Update/Correct or Remove personal information"" in the subject line toinfo@custom-metal.com. Opting Out Of EmailYou can choose to opt out of receiving email from Custom Metal Crafters, Inc. at any time. Custom Metal Crafters, Inc. markets some of its own products and services by email. Every email sent from Custom Metal Crafters, Inc. will include appropriate unsubscribe instructions. Opting out of email offers for a specific Custom Metal Crafters, Inc. service only opts you out of that service. To opt out of all email marketing messages from Custom Metal Crafters, Inc., you must send an email toinfo@custom-metal.comfrom the email address you wish to unsubscribe. Please clearly state in your email, ""Unsubscribe me from all Custom Metal Crafters, Inc. email marketing."" This is the only way to assure that you no longer receive email advertising messages from Custom Metal Crafters, Inc. Data SecurityWe use reasonable precautions to keep user information disclosed to us secure. To prevent unauthorized access, maintain data accuracy and ensure the appropriate use of information, we have put in place commercially reasonable physical, electronic and managerial procedures to safeguard and secure the information we collect. We may disclose information we collect to third parties, under contract to us, as required to operate this website, provide certain services or features offered by this website or to perform business functions on our behalf. We will only release this information to those companies that we believe to be responsible. However, we are not responsible for any breach of security or for any actions of any third parties who receive the information. Also, once information has been provided to a third party, it is out of the control of Custom Metal Crafters, Inc. and subject to the policies of that third party. ChildrenThis website is not intended for use by children, and the terms and conditions governing the use of this website and its features require that you must be at least 18 years old to use them. Legally Compelled Disclosure of InformationCustom Metal Crafters, Inc. may disclose information when legally compelled to do so: when we, in good faith, believe that the law requires us to do so or for the protection of our legal rights. Periodic Policy ChangesPlease note that Custom Metal Crafters, Inc. reviews its privacy practices from time-to-time (i.e. to track technology and/or legal changes), and that these practices are subject to change. To ensure continuing familiarity with the most current version of our privacy policy, please bookmark and periodically review this page. This policy statement is made in the name of Custom Metal Crafters, Inc. and is effective as of the date last modified as noted above. This statement does not create an agreement between Custom Metal Crafters, Inc. and users, and as such, does not create any legal rights for any party. Contact Us:Custom Metal Crafters, Inc.815 North Mountain Rd.Newington, CT 06111Phone:860.953.4210Fax:860.953.1746Email:info@custom-metal.comWebsite: www.custom-metal.com ",6085,957
1,Catalog Index ,14,2
1,All Categories Buckles Slides Clasps Dees Loop-Rings Specialty Hardware Snaps Solid Brass Hardware Chains Waterbury Style Buckles Plastic ,138,18
1,"Slides CMC specializes in design and manufacturing of standard and custom slides. Available in Zinc die cast, and Steel. Slides are manufactured in two forms stamped, and die cast. All of which can be supplied in an assortment of finishes. CMC Slides are used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion. Most items are made in the USA and are Berry Amendment compliant. We carry a well stocked inventory. Samples upon request. CMC can custom fabricate parts made to your specifications. 11 (1011) Z-200 Z-201 202/ST Z-203 Z-204 206/ST 207/ST 208/ST-37 209/ST-50 Z-210 211/ST 212/ST 213/ST 214/ST 215/ST 217W/ST ",748,117
1,"Dees CMC specializes in design and manufacturing of standard and custom Dees. Available in Zinc, Brass, and Steel and can be made by Die-Casting, Wire Forming, or Stamping. All of which can be supplied in an assortment of finishes.  CMC dees are used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion. Most items are made in the USA and are Berry Amendment compliant. We carry a well-stocked inventory. Samples upon request. CMC can custom fabricate parts made to your specifications. Z-400 Z-402 Z-404 Z-406 1406/SB 410/ST 411/ST 411W/ST 412W/ST Z-420 425W/SST 426W/ST 430W/ST 432W/ST 3250W/ST 3250W/SST ",735,113
1,"Specialty Hardware CMC offers a line of specialty hardware products. Turnlocks, eyelets, washers, squares, flat hooks, ring holders, post & dee, spike & rivet, clips, clip & dee, swivel eye assembly, chicago screws, hooks, sam browne button with washer, conchos. Available in Zinc, Brass, and Steel and can be made by Die-Casting, Wire Forming, or Stamping. All of which can be supplied in an assortment of finishes. CMC hardware is used in a wide variety of industries including tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion. Most items are made in the USA and are Berry Amendment compliant. We carry a well-stocked inventory. Samples upon request. CMC can custom fabricate parts made to your specifications. 42/SB 150/SB 29/SB Z-607 Z-620 735/ST Z-800 Z-801 Z-802 Z-804 805/ST Clip 805/ST Clip & Dee Z-806/R Z-807/S 810/SB 811/ST 4110/SB 4125/SB Z-4598 4614/ST 9014/ST ",963,150
1,"Solid Brass Hardware CMC offers a full line of standard solid brass hardware products. Our products lines include buckles, snaps, clasps, dees, slides, loop rings, chains & rope clamps. Manufactured in three forms; stamped, wire formed, and cast.  CMC brass hardware is used in a wide variety of industries tent & awning, military, medical, harness, equine, pet, luggage, strap, Firefighter equipment, tool belt systems, motorcycle, and fashion. 5/SB 017/SB 49/SB 56/SB 225/SB 249/SB Round Eye 249/SB Square Eye 251/SB 1114/SB 114/ST 1146/SB 1146/SST 1150/SB 1169/SB 1195/SB 1610/SB 1611/SB 1630/SB 3142/SB HRCB/SB ",615,91
1,Plastic 6101/D 6106/D 6108/D 6110/D 6202/D 6702/D 6819/D 6900/D ,64,9
1,Casual - Center Bar Belt Buckles WS 2704 Cast Buckle WS 2705 Cast Buckle WS 3083 Cast Buckle WS 3288 Cast Buckle WS 3361 Cast Buckle WS 3624 Cast Buckle WS 3930 Cast Buckle WS 4369 Cast Buckle WS 4393 Cast Buckle ,213,42
1,Casual - Belt Loops WS-8410 Cast Loop WS-8423 Cast Loop WS-8424 Cast Loop ,74,13
1,Solid Brass Harness Belt Buckles WS 3914 SB WS 2516 SB WS 3382 SB WS 3340 SB WS 3001 SB ,88,20
1,"Manufacturer ofMetal FastenersandGeneral Hardware UPCOMING Trade Shows  November 1-3, 2023 Orange Country Convention CenterOrlando, FL USAClick here to visit the ATA/IFAI website --------------------------------------------------------------------------------------------------------------------------------------SHOT SHOW 2024, LAS VEGAS - A 2-day supplier expo at the start of Shot Week.January 22 & 23, 2024Sands Expo Center Las Vegas, NevadaVisit us atBooth 51914 ",468,50
1,"Manufacturer ofMetal FastenersandGeneral Hardware Contact Us Custom Metal Crafters, Inc. Phone:860.953.4210Fax:860.953.1746Email:info@custom-metal.comWebsite: www.custom-metal.com Request Information ",200,14
5,Contact Information Video Noblitt Fabricating Blog ,51,6
5,"Industries Served   Noblitt Fabricating understands the unique attributes and specific requirements of your industry. We have expertise in industries such as commercial, automotive, locomotive, off road, on road, marine, and electrical. Contact Information Noblitt Fabrication Blog ",282,36
5,"Prototyping   Noblitt Fabricating is a full service rapid prototyping service provider offering a wide range of rapid prototyping technologies and materials, providing the competitive edge you need in the product development process to help you get your products to market faster. Noblitt Fabricating specializes in quick turnaround, but also provides the rapid prototyping engineering experience that can save you time and money. Contact Information Noblitt Fabrication Blog ",476,67
5,"Forming   Noblitt Fabricating is a leading manufacturer of the highest quality welded tubes and hollow sections, open special sections, as well as custom-made special tubes and precision parts. We offer a complete range of pressed parts in the body-in-white segment as well as highly innovative structural components. Additionally, Noblitt Fabricating produces cold-rolled special strip steel with a high degree of dimensional stability, extremely tight tolerances, and excellent surface qualities. Contact Information Noblitt Fabrication Blog ",544,74
5,"Tube Bending   Noblitt Fabricating offers tube bending for prototype and low-volume manufacturing. We’re capable of bending a wide assortment of metals including low carbon steel, stainless steel, aluminum, high-strength low alloys and many others. At Noblitt Fabricating, we hold tight tolerances. All our parts are shipped with a quality control package, ensuring your parts are built to your precise specifications. We excel at excuting fast lead times. Our short lead times mean that your order can be completed in days — not weeks. Contact Information Noblitt Fabrication Blog ",582,88
5,"Capabilities  –19,441 square feet–4.12 acres–25 full time employees–3 part time employees–10,000 lb crane running full length/width of building–Currently run 1 shift operation–Ready to start 2 shift operation–1,200+ active part numbers – prototype, productions,service–Lot sizes from 1 pc to 1,000 per week Contact Information Noblitt Fabrication Blog ",352,46
5,History  Contact Information Noblitt Fabrication Blog ,54,6
5,Noblitt Fabricating  Noblitt Fabricating Noblitt Manufacturing is now on the world wide web. Leave a Reply Name (required) Mail (will not be published) (required) Website  Cancel Reply Noblitt Fabrication Blog ,210,30
5,Archive  Noblitt Fabricating Noblitt Manufacturing is now on the world wide web. Noblitt Fabrication Blog ,106,15
10,"Congress Drives, established in 1915, is the leading globalManufacturer of Aluminum and Zinc Die Cast Pulleysand Custom Die Cast Components Die Cast Pulleys are lightweight, non toxic, produced with non-corrosive materials,andused for fractional horsepower motor applications. They are also spark free, impact resistant and built to last. All pulleys include set screws and are available with or without a keyway. All of our products are manufactured in Fenton, Missouri at our ISO 9001 certified facility. Besides our standard products, Congress Drives stands ready to assist you in the design and manufacture of any special pulley, sheave, or other aluminum or zinc die cast products that you may require. Markets We Serve Include: ",734,112
10,Variable Pitch Pulleys Congress Drives Variable Pitch Pulleys are ideal for applications where speeds must be changed or where you are unable to predetermine the correct speed. [ click to enlarge ] We offer 18 variable pitch pulleys with these features: On-line Catalogwith 3D Models ,284,45
10,"Custom Die Cast Components Today, we serve North American customers in a wide range of industries and provide numerous custom die casting solutions from our facilities located near St. Louis (Missouri). We invite your business inquiries and will respond promptly. [ click to enlarge ] Here's our snapshot: Our business markets include: ",336,52
10,"Manufacturing Capabilities Congress Drives continues to be a leader in the die casting industry.Today, we serve customers in a wide range of industries and provide them: With 30 die casting cells, plus machining and finishing services, we help our customers streamline their production processes while adding extra value. We also have full capabilities for swift, secure electronic transfer of data, funds and other information. ",429,64
10,Machining Congress has the machining and finishing services needed to give our customers production ready parts.Production machining capabilities: ,147,18
10,"Quality Congress Drive's commitment to quality begins with its President, and continues with each and every employee. Our commitment to quality is just one of the many reasons we've received OEM recognition.Our comprehensive quality assurance program starts with product design.Advanced computer technology enables our engineers to identify the critical factors that will affect production standards, and quality assurance. On-going analysis controls these variables to ensure the quality of our finished product. Ensures Customer Satisfaction Production doesn't begin until our staff and the customer complete a rigorous ""first part"" approval. During die casting, we use computerized Statistical Process Control and continuous monitoring to ensure consistent accuracy and integrity of the components. The emphasis on quality throughout production ensures customer satisfaction.  ",880,119
10,"About Congress Drives Congress Drives, in business since 1915, exists today for one purpose - to serve its customers. Whether it involves our standard products or our custom products we believe the only way to succeed is by listening to our customers, and then doing whatever it takes to satisfy their production requirements. There are two key elements in achieving customer satisfaction, supplying the actual product and cultivating the working relationship. Our products are all manufactured to world class standards and our responsive staff stands ready to exceed your expectations at every turn. Call orEmailtoday and give us the opportunity to help you with your die cast pulley or special component needs. Business Philosophy Congress Drive exists for one purpose -- to serve its customers.We owe our success to listening to our customers, and then doing whatever it takes to satisfy their production requirements.There are two key elements in achieving customer satisfaction:Supplying the actual product and cultivating the working relationship.We believe that a total willingness to exceed our customer expectations in quality assurance, competitive pricing and timely delivery is the only way to conduct business in a global marketplace. Industry Associations & Participation   ",1288,193
10,Sitemap Home A Groove Pulleys On-line Catalog with 3D Models for A Groove Pulleys catalog Variable Pitch Pulleys On-line Catalog with 3D Models for Variable Pitch Pulleys catalog Step Cone Pulleys On-line Catalog with 3D Models for Step Cone Pulleys catalog Custom Die Cast Components Engineering Manufacturing Capabilities Die Casting Machining Finishing Quality Value-Added Services Catalog Index About Us Contact Us Privacy Policy ,434,63
10,Variable Pitch Pulleys Item # Bore Size OD Keyway CAD ,54,10
10,"Step Cone Pulleys 2 Step, Zinc Die Cast Step-Cone Pulley  3 Step, Zinc Die Cast Step-Cone Pulley  4 Step, Zinc Die Cast Step-Cone Pulley  ",138,24
10,"All Categories A Groove Pulleys Our A-Groove Pulleys are specially designed for strength and durability. We offer a wide range of sizes for multiple applications. All pulleys are designed with 1/2"" groove for use with 4L or A Section V-Belts. 5-1/4"" and larger are Spoke Construction to Reduce Weight. Variable Pitch Pulleys Variable Pitch Pulleys are ideal for applications where speeds must be changed or where you are unable to predetermine the correct speed. Our pulleys are designed for use with 4L, 5L,  A or B section V-Belts. 1-1/2"" - 24 Pitch Thread Adjustment allows for downward speed variations up to 30%. Step Cone Pulleys Step cone pulleys are ideally suited for applications where there is a need to quickly and easily change rotation speed. These pulleys are available in 2-Step, 3-Step & 4-Step styles and designed for use with 4L or A Section V-Belts. ",870,145
12,"Aisin Automotive Casting, LLC AAC = Quality. AAC is a brand leader of engine-related functional parts and die cast parts that are essential to vehicle’s function and reliability. The Aisin group has been globally expanding its top-level automotive parts business. As one of the group companies, Aisin Automotive Casting, LLC (AAC) plays a part of manufacturing engine-related functional parts and die cast parts in North America.  AAC’s fundamental business policy is “Quality First”.  By thoroughly implementing our quality control system, we make consistent efforts to manufacture automotive parts that will truly satisfy our customers.  AAC continues to develop its business activities along with the fundamental business policy of “Quality First” in order to create parts that everyone can rely on. Plant Information In January 2001, AAC received the ISO/QS 9000 Quality Management System Award. Receiving this distinguished status reflects our commitment to maintain a quality system that strives for customer satisfaction through continuous improvement, defect prevention, and reduction of variation and waste. AAC received TS16949 certification in August 2004. In November 2001, AAC received the recommendation from Underwriters Labs for the ISO-14001 registration.  The ISO award is based on our recognized commitment to continual improvement and prevention of pollution, as well as a commitment to meet or exceed relevant environmental legislation, regulations and other requirements. AAC received ISO14001:2015 certification in February 2002. Aisin Automotive Casting, LLC, has an overall production system that includes the turn key process from die-cast to assembly of components, a process required to meet the increasing number of vehicles and engines produced by automobile manufacturers in the United States. ",1825,263
12,"Aisin Auto Products Manufactured Aisin Automotive Casting, LLC, has an overall production system that includes the turn key process from die-cast to assembly of components, a process required to meet the increasing number of vehicles and engines produced by automobile manufacturers in the United States. AAC provides a variety of die-cast services to meet the increasing demands of die maintenance as well as varieties of oil pumps, engine parts, transmission parts, water pumps, and brake components for Toyota Motor Manufacturing, General Motors, Honda Motor Company and Nissan.  L4 Camry Water Pump L4, 2.2 Liter Water Pump V6, 3.3 Liter Water Pump V6, Lexus, Avalon, Camry, Sienna Water Pump V6, Accord Water Pump V8 Tundra Water Pump V8 Tundra Oil Pump 2-Wheel Drive Tundra, Tacoma Transmission Extension Housing 4-speed Transaxle Case for V6 & L4 Camry 4-speed Valve Body for V6 & L4 front Camry 4-speed Valve Body for V6 & L4 back Camry 4-Wheel Drive Tundra, Tacoma Transmission Adaptor Tundra, Tacoma Stator Wheel Tundra, Tacoma Upper Valve Body #1 Tundra, Tacoma Transmission Case V6 Camry Lower Valve Body V6 Camry Rear Cover V6 Camry Lower Valve Body V8 Chevrolet Silverado, SUV, Corvette Valve Body V6 Tundra, Tacoma Converter Housing V8 Tundra Torque Converter Housing L4 Camry Oil Pump L4, 1.8 Liter Oil Pump Saturn Vue Worm Gear Housing L4, 2.2 Liter Oil Pump V8 Tundra Oil Pump V6, Camry, Avalon, Sienna Oil Pump L4 Camry Lower Crankcase L4 Corolla, Matrix – Cam Carrier Housing L4 Camry Timing Chain Cover V8 Tundra Fan Bracket V6 Lexus Oil Pan Adapter V6 Lexus Oil Pan Adapter V8 Tundra Oil Pan Adapter L4, 2.7L V6, 4.0L Tacoma Plunger Master Cylinder Body L4, 2.7L V6, 4.0L Tacoma Plunger Master Cylinder Cover V6, 3.3L Sienna Plunger Master Cylinder Cover V6, 3.3L Sienna Plunger Master Cylinder Body ",1822,300
12,Aisin Auto Transmission Components  ,36,4
12,"Aisin Auto Community AAC = Quality AAC is a brand leader of engine-related functional parts and die cast parts that are essential to vehicle’s function and reliability. The Aisin group has been globally expanding its top-level automotive parts business. Our unique system of individualizing each business allows each group company to have its own research/development/production system. In addition, collaboration among group companies enables us to enhance technology resulting in higher quality products. As one of the Aisin group companies, Aisin Automotive Casting, LLC (AAC) plays a part of manufacturing engine-related functional parts and die cast parts in North America. AAC’s fundamental business policy is “Quality First”. By thoroughly implementing our quality control system, we make consistent efforts to manufacture automotive parts that will truly satisfy our customers. AAC continues to develop its business activities along with the fundamental business policy of “Quality First” in order to create parts that everyone can rely on. Corporate Principle: Respect and Appreciate AAC is pursuing to harmonize with community and people. As a corporate principle, AAC encourages the company as a whole and each individual to have mutual respect and appreciation. This principle applies to the company and also in our society and community. In accordance with this principle, we are actively engaged in a variety of corporate activities such as regularly-scheduled company picnics, cookouts and volunteering activities such as community cleanup. Environment: For the surrounding community and our earth AAC will always strive to grow with the needs of our environment. AAC is always trying to advance our technology, which includes items like our waste water treatment plant facility and our melt furnaces which allows us to always attempt control of environmental waste and control any negative impact to our surrounding environment. AAC works hard to stay on target with all goals we set, which includes reducing, reusing, and recycling to achieve zero landfill targets and also looking at ways to reduce our energy usage through water and natural gas conservation. Our company, team members, and the surrounding community are very important to AAC and we will strive to grow together with the environment. Product: Quality First for a Vehicle to Provide a Sense of Security Aisin Automotive Casting, LLC, has an overall production system that includes the turn key process from die-cast to assembly of components, a process required to meet the increasing number of vehicles and engines produced by automobile manufacturers in the United States. AAC provides a variety of die-cast services to meet the increasing demands of die maintenance as well as varieties of oil pumps, engine parts, transmission parts, water pumps, and brake components for Toyota Motor Manufacturing, General Motors, Honda Motor Company and Nissan. ",2936,446
12,Aisin Auto Contact Us  Your Name (required) Your Email (required) Subject Your Message  ,88,13
12,"Email Protection You are unable to access this email addresswww.aisinauto.com The website from which you got to this page is protected by Cloudflare. Email addresses on that page have been hidden in order to keep them from being accessed by malicious bots.You must enable Javascript in your browser in order to decode the e-mail address. If you have a website and are interested in protecting it in a similar way, you cansign up for Cloudflare. Cloudflare Ray ID:7aa96bc118049c6d•Your IP:Click to reveal128.143.245.250•Performance & security byCloudflare ",555,84
12,"Email Protection You are unable to access this email addresswww.aisinauto.com The website from which you got to this page is protected by Cloudflare. Email addresses on that page have been hidden in order to keep them from being accessed by malicious bots.You must enable Javascript in your browser in order to decode the e-mail address. If you have a website and are interested in protecting it in a similar way, you cansign up for Cloudflare. Cloudflare Ray ID:7aa96bcd5be68200•Your IP:Click to reveal128.143.245.250•Performance & security byCloudflare ",555,84
14,"Oil Field Manufacturing Industrial Mining Custom Utilizing the latest foundry technology since 1984, Alpha Investment Casting specializes in hundreds of different alloys with the tightest casting tolerances possible. ISO 9001:2015 certifiedPED Compliant Alpha’s experienced staff, combined with the latest technology, allow them to boast six-sigma grade process control with very little variation and high repeatability.  We take pride in forming partnerships with our customers to work together to reduce part cost by using strategic casting designs with superior quality. Specializing in Hundreds of Unique Alloys StreamlinedOperations QuickTurnarounds AffordablePricing Engineering &Manufacturing Alpha Investment Casting is the elite name in the industry, where quality and the customer are the top priorities. Pride AndInnovation On December 5, 1791, Alexander Hamilton presented to the newly formed House of Representatives his ""Report on Manufacturers"". In this report Hamilton proposes that the American government should support manufacturing as an ""integral part of the American economy"". This report sparked the beginning of America’s world dominance in manufacturing, innovation and entrepreneurialism. All we need do is review American history with names like Thomas Edison, Henry Ford and so many others to see what Hamilton’s visionary report created. However, some of that vision has been lost over the last couple of decades as more and more companies move manufacturing jobs out of the country. At Alpha Investment Casting, made in America is just the first part of our vision of “Making it in America”. When you take made in America, add a lot of pride, some innovation and a heap of entrepreneurialism you get what “Making it in America” really means. So if you are looking for someone who is “Making it in America”, you might want to give us a call. Contact us at918-834-4686to create the custom castings you need. ",1936,292
